rowid,stationid,city,chinese,latitude,longitude,pm25,pm10,o3,no2 ,so2,co,useless1,useless2,useless3,useless4,useless5,useless6,time
147223,965,Chongqing,_öçë_æ,29.560161,106.555275,142,58,5,26,29,14,22,12,1019,53,4,2.01E+13,1396504800
147276,36,Beijing,ë‘ã__Œ,39.955906,116.474246,38,53,36,4,2,5,17,-29,1021,4,16,2.01E+13,1396515600
147288,47,Shanghai,_Ù__µà,31.202842,121.453493,114,43,41,14,5,5,20,7,1014,44,4,2.01E+13,1396515600
147668,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,59,250,25,19,9,2,11,-6,1022,30,16,2.01E+13,1396522800
148139,965,Chongqing,_öçë_æ,29.560161,106.555275,157,89,11,45,19,11,19,13,1020,68,4,2.01E+13,1396530000
148192,36,Beijing,ë‘ã__Œ,39.955906,116.474246,112,157,24,27,8,5,10,-9,1022,26,16,2.01E+13,1396544400
148204,47,Shanghai,_Ù__µà,31.202842,121.453493,72,34,43,11,4,4,11,3,1020,58,6,2.01E+13,1396544400
148584,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,72,61,17,12,9,4,6,-8,1021,36,9,2.01E+13,1396551600
149055,965,Chongqing,_öçë_æ,29.560161,106.555275,159,68,2,17,22,16,16,15,1019,94,4,2.01E+13,1396562400
149108,36,Beijing,ë‘ã__Œ,39.955906,116.474246,152,92,16,23,9,4,6,-5,1015,46,4,2.01E+13,1396573200
149120,47,Shanghai,_Ù__µà,31.202842,121.453493,122,59,23,36,14,4,11,3,1019,58,6,2.01E+13,1396573200
149500,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,162,157,13,28,48,0,16,-3,1013,27,9,2.01E+13,1396580400
149971,965,Chongqing,_öçë_æ,29.560161,106.555275,159,71,5,32,18,12,19,15,1019,78,9,2.01E+13,1396591200
150024,36,Beijing,ë‘ã__Œ,39.955906,116.474246,53,91,23,5,2,7,25,-15,1009,6,13,2.01E+13,1396602000
150036,47,Shanghai,_Ù__µà,31.202842,121.453493,160,81,41,27,19,7,19,-1,1014,26,1,2.01E+13,1396602000
150415,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,122,255,24,31,38,7,16,-4,1012,25,25,2.01E+13,1396605600
150886,965,Chongqing,_öçë_æ,29.560161,106.555275,137,60,15,34,10,10,17,13,1016,77,13,2.01E+13,1396616400
150939,36,Beijing,ë‘ã__Œ,39.955906,116.474246,97,104,34,17,7,7,11,-7,1022,28,4,2.01E+13,1396630800
150951,47,Shanghai,_Ù__µà,31.202842,121.453493,155,76,31,51,14,7,12,6,1015,67,8,2.01E+13,1396630800
151331,498,Tianjin,ë_©_‚Ç,39.085164,117.207281,80,119,18,12,16,9,7,-2,1023,53,9,2.01E+13,1396638000
151802,965,Chongqing,_öçë_æ,29.560161,106.555275,134,60,6,23,8,9,15,13,1015,88,7,2.01E+13,1396641600
151855,36,Beijing,ë‘ã__Œ,39.955906,116.474246,59,53,18,18,3,6,10,-6,1025,32,2,2.01E+13,1396659600
